model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend
densenet121.tflite,0.733,0.909,1000,30.563220977783203,169.45824146270752,169.10958290100098,1.0742186542044558,168.165922164917,181.06675148010254,169.10958290100098,170.57101726531982,171.5068817138672,173.20259809494019,5.901389721670451,5.913325447602819,0.03646767077722283,5.522825100829681,5.946507991192887,5.913325447602819,5.926234048084639,5.928422385748436,5.933055345493992,2399.86616796875,2399.8671875,2399.8671875,2399.8671875,283.8515625,283.8515625,,,3789.52734375,2684.19921875,2683.71875,,TFLite
efficientnet_b0.tflite,0.771,0.929,1000,20.17715072631836,86.17712807655334,86.01093292236328,0.7459753647291557,84.81597900390625,100.50773620605469,86.01093292236328,86.64038181304932,86.99532747268677,88.18195581436157,11.604799047859562,11.626428943662752,0.09174736498820307,9.94948287313787,11.790231177475938,11.626428943662752,11.64356721493511,11.646425273349925,11.652528558510511,1758.4921875,1758.4921875,1758.4921875,1758.4921875,915.53515625,915.53515625,,,3805.85546875,2674.52734375,2674.02734375,,TFLite
inception_v3.tflite,0.769,0.931,1000,90.92940902709961,287.4014186859131,286.9809865951538,1.5469652509930847,284.9540710449219,308.96544456481934,286.9809865951538,289.12878036499023,290.03909826278687,291.78102016448975,3.479552035286473,3.4845514048366564,0.018249166223186907,3.2366079041897686,3.5093374743972476,3.4845514048366564,3.4938231957728343,3.497093971058451,3.5022882634982175,3160.78125,3160.78125,3160.78125,3160.78125,937.27734375,937.27734375,,,6059.16796875,4098.55859375,4098.05859375,,TFLite
levit_128s.tflite,0.741,0.923,1000,31.525489807128906,8.20572805404663,8.173942565917969,0.1742885663346558,8.081436157226562,10.060787200927734,8.173942565917969,8.26122760772705,8.307695388793945,8.890681266784668,121.91304298076264,122.33998366584996,2.2181330365281284,99.39580074885066,123.74038234599952,122.33998366584996,122.91396939752451,123.08313525251636,123.30400202064702,1721.77365625,1721.72265625,1722.22265625,1722.22265625,968.3828125,968.3828125,,,6059.16796875,2690.60546875,2690.10546875,,TFLite
mnasnet1_0.tflite,0.729,0.906,1000,16.679828643798828,8.443876028060913,8.426189422607422,0.08663068210087228,8.356809616088867,9.47260856628418,8.426189422607422,8.495616912841797,8.544588088989258,8.842041492462158,118.44087011478176,118.67760747433582,1.1565324454191885,105.56754171805392,119.66289121565718,118.67760747433582,119.27835286088045,119.37034856932509,119.54358977959092,1722.67578125,1722.67578125,1722.67578125,1722.67578125,952.921875,952.921875,,,6059.16796875,2675.59765625,2675.59765625,,TFLite
mobilenet_v2.tflite,0.713,0.906,1000,13.34295654296875,49.14543890953064,49.04627799987793,0.5966764324092048,48.82168769836426,59.24224853515625,49.04627799987793,49.316954612731934,49.54323768615723,50.83236217498779,20.3503750928684,20.388906982961863,0.21543349517685365,16.879845460399228,20.482700356003967,20.388906982961863,20.4330080722557,20.444566411898585,20.46132304836384,1734.1640625,1734.1640625,1734.1640625,1734.1640625,937.92578125,937.92578125,,,6059.16796875,2672.08984375,2672.08984375,,TFLite
mobilenet_v3_small.tflite,0.674,0.868,1000,11.987106323242188,18.00769352912903,17.93062686920166,0.28627326063549347,17.82059669494629,22.157907485961914,17.93062686920166,18.212103843688965,18.323945999145508,19.397099018096924,55.544510712174144,55.77049856309483,0.8007988730939709,45.13061536309543,56.11484380226102,55.77049856309483,55.93300261375153,55.97035947788107,56.027891692603625,1732.66796875,1732.66796875,1732.66796875,1732.66796875,937.9296875,937.9296875,,,6059.16796875,2671.09765625,2670.59765625,,TFLite
mobilevit_xxs.tflite,0.663,0.875,1000,5.279247283935547,12.33703064918518,12.308239936828613,0.1563833851638474,12.192010879516602,15.091419219970703,12.308239936828613,12.409257888793945,12.492573261260986,12.90783166885376,81.06863415277184,81.24638502147312,0.938601003113776,66.26282031027837,82.02092418405459,81.24638502147312,81.6568480482819,81.7268564525243,81.92019204501055,1158.828125,1158.828125,1158.828125,1158.828125,941.6328125,941.6328125,,,6059.16796875,2100.4609375,2100.4609375,,TFLite
resnet18.tflite,0.695,0.879,1000,44.593624114990234,91.4148519039154,91.26567840576172,0.5291639406668732,90.59643745422363,101.94039344787598,91.26567840576172,91.87769889831543,92.10829734802246,92.6414680480957,10.939490019333224,10.95702149455225,0.06033952949750984,9.809654114306698,11.03796162520494,10.95702149455225,10.983418701358556,10.986786295387095,10.994391327194446,1766.1640625,1766.1640625,1766.1640625,1766.1640625,948.21484375,948.21484375,,,6059.16796875,2714.7265625,2714.37890625,,TFLite
resnet50_v1_mlperf.tflite,0.756,0.921,1000,97.43214416503906,67.91771245002747,67.85881519317627,0.22600809115618306,67.4898624420166,70.89042663574219,67.85881519317627,68.2075023651123,68.3634877204895,68.57293844223022,14.72386070609203,14.73647892658329,0.04844845637956149,14.106277073748217,14.817040127458288,14.73647892658329,14.764366317031675,14.773261489516006,14.788785681061903,1270.20703125,1270.20703125,1270.20703125,1270.20703125,1044.6328125,1044.6328125,,,6059.16796875,2315.18359375,2314.83984375,,TFLite
