model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend
densenet121.tflite,0.733,0.909,1000,30.563220977783203,136.82650780677795,135.5135440826416,3.276573763485703,133.81457328796387,153.46503257751465,135.5135440826416,141.34645462036133,144.09948587417603,149.78877544403076,7.312503333466173,7.379336189401521,0.16637371917000202,6.516142362885849,7.473027604011695,7.379336189401521,7.42981556450113,7.4371081073331675,7.446576726510571,2366.7528125,2366.6328125,2367.1328125,2367.1328125,284.296875,284.55078125,,,3757.2421875,2651.9140625,2651.18359375,,TFLite
efficientnet_b0.tflite,0.771,0.929,1000,20.17715072631836,69.74762439727783,69.63849067687988,0.6267891729871132,68.4499740600586,77.117919921875,69.63849067687988,70.56844234466553,70.87703943252563,71.4149522781372,14.338540739302909,14.35987469821827,0.1264790737003197,12.967154728927582,14.609209334726575,14.35987469821827,14.47941907047924,14.498375791677912,14.5249816429434,1764.71875,1764.71875,1764.71875,1764.71875,883.18359375,883.18359375,,,3779.65234375,2648.5,2647.90234375,,TFLite
inception_v3.tflite,0.769,0.931,1000,90.92940902709961,230.92695116996765,230.37219047546387,2.312285310036813,227.50592231750488,249.1462230682373,230.37219047546387,233.18774700164795,233.83605480194092,242.78415441513062,4.33079475725667,4.340801717319545,0.04210436444394753,4.013707242618386,4.395489971484833,4.340801717319545,4.36798559031665,4.373429162288541,4.379994571256953,3183.6015625,3183.6015625,3183.6015625,3183.6015625,911.53125,911.53125,,,6055.875,4095.01171875,4095.1328125,,TFLite
levit_128s.tflite,0.741,0.923,1000,31.525489807128906,6.647077560424805,6.582021713256836,0.1678525099933713,6.450653076171875,8.225202560424805,6.582021713256836,6.875061988830566,6.930708885192871,7.182164192199707,150.5338694609588,151.92900351360163,3.6454335726283684,121.57755297254992,155.02306327616796,151.92900351360163,153.76705649448252,153.93099298363177,154.29322712217936,1721.4609375,1721.4609375,1721.4609375,1721.4609375,965.58984375,965.58984375,,,6055.875,2687.16015625,2687.05078125,,TFLite
mnasnet1_0.tflite,0.729,0.906,1000,16.679828643798828,6.929834604263306,6.915092468261719,0.15931391475466472,6.685495376586914,8.350849151611328,6.915092468261719,7.145380973815918,7.184040546417236,7.239351272583008,144.37830096812314,144.6112260377879,3.2572613309946004,119.74830126191972,149.57754716308264,144.6112260377879,148.60823629880682,148.88808829906205,149.21569604041412,1722.6640625,1722.6640625,1722.6640625,1722.6640625,949.484375,949.484375,,,6055.875,2672.359375,2672.1484375,,TFLite
mobilenet_v2.tflite,0.713,0.906,1000,13.34295654296875,39.439640522003174,39.42835330963135,0.2880387394040332,39.00861740112305,43.612003326416016,39.42835330963135,39.68343734741211,39.791226387023926,40.0684380531311,25.35649403530207,25.3624591459889,0.17745117242726438,22.92946720460087,25.63536127715232,25.3624591459889,25.522003983954033,25.53912945974531,25.586440001594728,1733.9140625,1733.9140625,1733.9140625,1733.9140625,934.984375,934.984375,,,6055.875,2669.11328125,2668.8984375,,TFLite
mobilenet_v3_small.tflite,0.674,0.868,1000,11.987106323242188,14.31662106513977,14.306068420410156,0.17863102374467485,13.993978500366211,16.014814376831055,14.306068420410156,14.513254165649414,14.591443538665771,14.805362224578857,69.859537979938,69.90040695018442,0.8552858752771297,62.4421848714475,71.45930658488798,69.90040695018442,70.96600849364668,71.05154252347789,71.23842438297166,1732.6640625,1732.6640625,1732.6640625,1732.6640625,935.03125,935.03125,,,6055.875,2668.109375,2667.6953125,,TFLite
mobilevit_xxs.tflite,0.663,0.875,1000,5.279247283935547,9.990903377532959,9.940385818481445,0.1447559620821987,9.809017181396484,11.005640029907227,9.940385818481445,10.218453407287598,10.266554355621338,10.347449779510498,100.11169956722297,100.59971697886935,1.4270667151493228,90.86250297870497,101.94701278498857,100.59971697886935,101.5078412391094,101.63328406309822,101.84312003481814,1152.75390625,1152.75390625,1152.75390625,1152.75390625,938.63671875,938.63671875,,,6055.875,2091.41015625,2091.390625,,TFLite
resnet18.tflite,0.695,0.879,1000,44.593624114990234,73.75221848487854,73.65906238555908,0.5395762048862489,72.79777526855469,78.33194732666016,73.65906238555908,74.5474100112915,74.70414638519287,75.03572225570679,13.559633815943613,13.576062029791327,0.09847665554664393,12.766183327854682,13.736683522414651,13.576062029791327,13.674289895636907,13.69332121899105,13.71440845004141,1765.69140625,1765.69140625,1765.69140625,1765.69140625,939.375,939.375,,,6055.875,2705.1875,2705.06640625,,TFLite
resnet50_v1_mlperf.tflite,0.756,0.921,1000,97.43214416503906,55.821948289871216,55.74464797973633,0.281444627408867,55.24802207946777,57.31987953186035,55.74464797973633,56.2117338180542,56.30998611450195,56.52485132217407,17.91455399788926,17.938941875882126,0.09000985743636622,17.44595432103387,18.10019548865691,17.938941875882126,18.010611492425138,18.025968582515915,18.065936589124952,1249.7578125,1249.7578125,1249.7578125,1249.7578125,1035.09375,1035.09375,,,6055.875,2285.375,2284.8515625,,TFLite
