model_id,gpu_mean,gpu_std,gpu_cv,edge_mean,edge_std,edge_cv,ratio_diff,ratio_diff_pct,p_value,significant
DN,2.8495207638037527,0.4561145220944897,0.16006709896215462,2.0527546937527386,1.0242480619515246,0.49896271827738364,0.7967660700510142,27.961406008055594,0.00015398243344112323,True
EN,1.2108976330523804,0.09713421939758865,0.080216705975993,0.9416540172943817,0.4645207184021142,0.49330296464597867,0.2692436157579987,22.235043525463055,0.0033708555201227308,True
IN,1.9412042011012025,0.17382103248402547,0.08954288909194644,2.29474672094192,0.6974576596156646,0.3039366624868215,-0.3535425198407174,-18.212536302989683,0.06439042130122707,False
LE,1.4610626215774025,0.12598142749367428,0.0862258917811896,0.7350986838505166,0.516718321988145,0.7029237479810541,0.7259639377268859,49.68739375066045,7.89441847297154e-06,True
MN,0.7815996078389063,0.10978754315079305,0.14046519733339108,0.26794567642405376,0.14334040947791968,0.5349607106593784,0.5136539314148525,65.71829441356635,6.395892282159448e-11,True
MV2,0.8142850988295378,0.13727629918091278,0.16858505623919093,0.6593747371086867,0.46986546368967214,0.7125924565293481,0.15491036172085115,19.024093888433054,0.0010034651276860321,True
MV3,0.8476019937162309,0.16045563170879162,0.18930539675265398,0.30921042221958295,0.30054063513034546,0.9719615301871011,0.538391571496648,63.51938474520581,2.3194828269285368e-07,True
MX,1.4139530760954695,0.13926550127217857,0.09849372205246748,0.9140130008111661,0.8942896110551626,0.9784211058940087,0.4999400752843034,35.35761431806862,0.00012952026171937146,True
R18,0.5159520717894305,0.09192316652853112,0.17816222000954898,0.8108303083452503,0.17936917518689963,0.22121666314244942,-0.2948782365558198,-57.15225360625454,7.215676241040574e-08,True
R50,1.0,0.0,0.0,1.000091968608396,0.0008847076033724095,0.0008846262455276578,-9.196860839599807e-05,-0.009196860839599807,0.6758920442663576,False
SN,0.4911127270194832,0.1176361323421967,0.23952979808957361,0.3613228096748386,0.23556508558117176,0.6519518814579167,0.12978991734464462,26.427724268586434,0.0003915069635749379,True
