model_id,n_groups,frm_var,latency_var,memory_var,frm_cv,latency_cv,memory_cv,frm_mean,latency_mean,memory_mean
CN,22,0.05881214893358896,113338.63518530295,130138.03721625257,0.20948072065419615,2.9529054038239515,0.1677276235384948,1.1576824907195107,114.00908356480508,2150.7876420454545
DE,22,0.03167998077924802,8283.842419485147,425568.0936609904,0.21635911885715112,2.771566868689104,0.3152920136475881,0.8226540699378525,32.83904760796202,2069.052734375
DN,119,0.042149387757461486,95498.51900106743,813501.6457061594,0.24550194305124035,1.098719015928325,1.7555944204871563,0.8362588012983666,281.26239931949726,513.753774947479
EN,118,0.008282066930218535,25818.541133236908,848966.7075115072,0.3062185701963338,1.2075984134164437,1.8515768935737122,0.29719249883110266,133.05871216624416,497.62658898305085
IN,119,0.05371821533799134,93769.39525285785,1982723.1351687408,0.16925823106166543,0.9691903411705372,1.6150863509292468,1.3693390403036823,315.9522701757517,871.8369879201681
LE,120,0.009390682651693676,5313.611504629275,1017248.4574254043,0.3407591775302428,0.9648169645385587,1.7934642226731923,0.2843812905722745,75.5526963401773,562.36826171875
MN,210,0.004508774941759063,1986.9482207552671,625567.820794935,0.3538392896070266,1.2903902957041224,2.1847386207790533,0.18976810658971155,34.54396512467957,362.0242931547619
MV2,120,0.0071751755732588325,13267.96588227926,1040072.8827344012,0.37331766354534296,1.2583008788008059,1.9734190296322693,0.2269016882187702,91.54142593636882,516.78818359375
MV3,120,0.0031912679552284144,2460.435887552336,1041089.1006666668,0.5490560355249099,1.2569011305163822,1.9983455484972699,0.10288805698276118,39.46434595549684,510.59124348958335
MX,119,0.021368842937248764,16854.546952956505,809215.9072052899,0.41934476042518676,1.2426951166037512,1.7714266577420592,0.3485934980969751,104.47056655318458,507.81909795168065
R18,119,0.007321706466005322,11865.863445762961,1037866.0949995235,0.1640078241715975,0.9802249056495327,1.8250736331996211,0.5217249303864355,111.1281130566756,558.2005646008404
R50,210,9.051835667746002e-08,29894.15834856989,496949.82269830303,0.0003008539232737914,1.166548888426729,1.2227247676837716,1.0000291308793936,148.21433887329027,576.5375
SN,118,0.006116521103729235,2624.11735934682,1087524.2345105773,0.4213087104227292,1.085755259491428,1.9977428139915714,0.18563155433669248,47.18018998021425,522.0112884004237
