model_name,top1_acc,top5_acc,samples,model_file_mb,param_bytes_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,host_steady_mean_delta_median_mib,dev_peak_delta_mean_mib,dev_peak_delta_median_mib,dev_peak_delta_p95_mib,dev_peak_delta_max_mib,dev_steady_mean_delta_median_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,dev_global_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p90_j_per_sample,energy_p95_j_per_sample,energy_p99_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median
convnext_tiny.onnx,0.822,0.966,1000,109.18,109.06,1.8192117859999999,1.796296,0.2712233542225558,1.777944,9.916797,1.796296,1.8163899000000001,1.9262074999999999,2.0862268299999998,552.4777662783504,556.7011227687995,22.138387274006778,100.8390108217401,562.4474111670559,556.7011227687995,559.4998742527973,560.1163182572864,561.0715276707308,1800.50390625,1800.50390625,1800.50390625,1800.50390625,1800.50390625,,,,,,967.640625,967.640625,,,2768.14453125,967.640625,,1800.50390625,,NVIDIA+NVML,0.6963630008307528,0.6725733333333334,0.6742033333333334,0.67484,1.9957971944808166,0,0.6725733333333334,,201.689,201.689,201.689
deit_tiny_distilled_patch16_224.onnx,0.741,0.916,1000,22.67,22.55,1.5892926470000002,1.585414,0.027630506233384575,1.552891,1.989595,1.585414,1.6067883,1.61337045,1.7154725899999996,629.3815583464955,630.7500753809076,9.865873479471611,502.6148537767737,643.960200683757,630.7500753809076,637.0158711275858,638.265144281585,641.1085457648716,1542.10546875,1542.10546875,1542.10546875,1542.10546875,1542.10546875,,,,,,1613.13671875,1613.13671875,,,3155.2421875,3281.1171875,,1542.10546875,,NVIDIA+NVML,0.5423713,0.5464166666666668,0.5483866666666667,0.5489700000000001,0.5500666666666667,0,0.5464166666666668,,163.925,163.925,163.925
densenet121.onnx,0.733,0.908,1000,30.81,30.67,3.646639488,3.6312765000000002,0.156989420773926,3.528219,7.311964,3.6312765000000002,3.6980837,3.71815065,3.7496858,274.5152091817091,275.38525365167607,6.919995848263287,136.76216130166944,283.42911820383034,275.38525365167607,278.042543790955,278.84432252051664,280.888196388181,1166.9856875,1166.9921875,1166.9921875,1166.9921875,1166.9921875,,,,,,2007.32421875,2007.32421875,,,3174.31640625,3718.96484375,,1166.9921875,,NVIDIA+NVML,1.113351816385757,1.1171133363991976,1.1199733440645039,1.120828913354874,1.1221866100618243,0,1.1171133363991976,,164.706,164.706,164.708
efficientnet_b0.onnx,0.771,0.929,1000,20.16,20.09,1.4144623419999998,1.393537,0.10237423100260343,1.359323,3.169169,1.393537,1.4390618,1.5145103500000001,1.79756665,709.4513965823995,717.5984563022008,35.2824015331793,315.54013055157355,735.6603250294448,717.5984563022008,728.2815694332005,729.9915612121312,732.5644966217989,1199.22265625,1199.22265625,1199.22265625,1199.22265625,1199.22265625,,,,,,2026.8125,2026.8125,,,3226.03515625,3742.0390625,,1199.22265625,,NVIDIA+NVML,0.5406190811617709,0.5437666666666667,0.54446,0.5445633333333334,0.5450633333333333,0,0.5437666666666667,,163.117,163.117,163.117
inception_v3.onnx,0.769,0.931,1000,90.9,90.86,2.5553206230000005,2.5527414999999998,0.018697712405427225,2.516974,2.723954,2.5527414999999998,2.5789124,2.58820015,2.6089316,391.36098407198836,391.7357086187401,2.826999379068406,367.1133947195878,397.30247511495946,391.7357086187401,394.49059173762697,395.1091649096765,396.2193686503527,2527.5,2527.5,2527.5,2527.5,2527.5,,,,,,2077.3125,2077.3125,,,4604.8125,3799.2578125,,2527.5,,NVIDIA+NVML,1.2406420762628616,1.2523440143987536,1.2562244803473355,1.2572990617550908,1.2588367188106477,0,1.2523440143987536,,184.671,184.671,184.671
levit_128s.onnx,0.741,0.923,1000,31.64,31.5,1.8480884299999998,1.8417965,0.10427611142999177,1.809987,4.305985,1.8417965,1.8576700000000002,1.8619780499999998,1.88027957,541.9027630681568,542.9481488116626,14.514740591019661,232.23490095762062,552.4901560066453,542.9481488116626,546.7873047167171,547.9969724324552,549.6884558303933,1282.91796875,1282.91796875,1282.91796875,1282.91796875,1282.91796875,,,,,,2078.3046875,2078.3046875,,,3361.22265625,5622.1640625,,1282.91796875,,NVIDIA+NVML,0.5430501361059842,0.5457333333333334,0.5463633333333333,0.5465766666666667,0.5470666666666667,0,0.5457333333333334,,163.72,163.72,163.72
mnasnet1_0.onnx,0.728,0.907,1000,16.67,16.65,0.910894294,0.9076975,0.04470759852386768,0.835189,1.360422,0.9076975,0.9280958,0.9344434,1.1389115499999998,1099.828947671333,1101.6886132623642,41.464486086251085,735.066030981563,1197.3337771450535,1101.6886132623642,1131.534300763851,1142.8075776911828,1178.8309724097626,1148.453125,1148.453125,1148.453125,1148.453125,1148.453125,,,,,,2212.81640625,2212.81640625,,,3361.26953125,5622.1640625,,1148.453125,,NVIDIA+NVML,0.5273976133333333,0.5321,0.5327910000000001,0.5329433333333334,0.5331666666666667,0,0.5321,,159.63,159.63,159.63
mobilenet_v2.onnx,0.713,0.906,1000,13.34,13.3,0.909946999,0.911078,0.025911270579151945,0.81059,1.367328,0.911078,0.9323154,0.93937905,0.95487428,1099.7831302757436,1097.6008646713983,29.279417287459662,731.3534133726508,1233.6693026067433,1097.6008646713983,1125.8141199329923,1137.1059932770625,1210.3129711897307,1250.12109375,1250.12109375,1250.12109375,1250.12109375,1250.12109375,,,,,,2212.5703125,2212.5703125,,,3462.69140625,5622.1640625,,1250.12109375,,NVIDIA+NVML,0.5312747533333334,0.5360566666666667,0.53777,0.5385366666666668,0.5387166666666667,0,0.5360566666666667,,160.817,160.817,160.817
mobilenet_v3_small.onnx,0.676,0.868,1000,9.71,9.68,0.9638344770000001,0.96112,0.016137937918511543,0.941192,1.311771,0.96112,0.9783440999999999,0.9835265499999999,0.99869617,1037.774286964015,1040.452805251113,15.204988881296497,762.3281807571597,1062.4824690392609,1040.452805251113,1051.4748459437517,1053.7781455119489,1057.5323979365673,1148.4453125,1148.4453125,1148.4453125,1148.4453125,1148.4453125,,,,,,2315.40625,2315.40625,,,3463.8515625,5622.1640625,,1148.4453125,,NVIDIA+NVML,0.4979886266666667,0.5000800000000001,0.5002566666666667,0.5003166666666667,0.5003566666666667,0,0.5000800000000001,,150.024,150.024,150.024
mobilevit_xxs.onnx,0.662,0.875,1000,5.04,4.85,1.8222582430000003,1.8215970000000001,0.018736549723294433,1.78158,1.961157,1.8215970000000001,1.8457124,1.8522999,1.86951889,548.8272117143234,548.9688444441349,5.605972893413561,509.9030827210673,561.2995206502094,548.9688444441349,555.9737407695355,557.1063850035151,559.230514030429,1816.08984375,1816.08984375,1816.08984375,1816.08984375,1816.08984375,,,,,,1687.06640625,1687.06640625,,,3503.15625,5622.1640625,,1816.08984375,,NVIDIA+NVML,0.5203466900000001,0.5230400000000001,0.5242066666666667,0.5247266666666667,0.5251433333333334,0,0.5230400000000001,,156.912,156.912,156.912
