baseline,frm_rank_stability_mean,frm_rank_stability_std,latency_rank_stability_mean,latency_rank_stability_std,accuracy_rank_stability_mean,accuracy_rank_stability_std,frm_cv_mean,latency_cv_mean,framework_invariance_mean
R50,0.9562180709666823,0.046622222492753156,0.7461078943844931,0.19040865874550034,0.9951138681125049,0.010978352463762046,0.2899040691516074,1.4035087294430517,0.947258991008991
MV2,0.9563448922692621,0.0467773852802875,0.7474414521053178,0.19013338756651507,0.9951953036439631,0.010904437572514367,0.19685648028050637,1.3672940829961076,0.947258991008991
EN,0.955892403024085,0.04697534266044943,0.7445907730783873,0.19060991360801527,0.9950724869055202,0.011048785261306886,0.17711509602698897,1.3673539197542237,0.947258991008991
