model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend
densenet121.tflite,0.733,0.909,1000,30.563220977783203,273.7464654445648,273.24116230010986,2.1851265529116284,271.77977561950684,297.58334159851074,273.24116230010986,274.92754459381104,275.64395666122437,283.366539478302,3.653235906998502,3.659770700665443,0.027689836574842055,3.360403155056864,3.67944964896875,3.659770700665443,3.668450030393276,3.6708130252781137,3.6742420443415194,2364.671875,2364.671875,2364.671875,2364.671875,281.42578125,281.42578125,,,3751.4140625,2647.09765625,2646.09765625,,TFLite
efficientnet_b0.tflite,0.771,0.929,1000,20.17715072631836,125.13746404647827,124.59981441497803,1.8902824809388452,123.17895889282227,146.11005783081055,124.59981441497803,126.2277364730835,128.20488214492798,133.31705808639526,7.992916007548731,8.025694136892945,0.11304512486690697,6.844155801772106,8.118269621600696,8.025694136892945,8.061199171635659,8.066953554351384,8.076425250597797,1796.46484375,1796.46484375,1796.46484375,1796.46484375,878.12109375,878.12109375,,,3805.90234375,2674.5859375,2674.5859375,,TFLite
inception_v3.tflite,0.769,0.931,1000,90.92940902709961,450.94272804260254,450.4626989364624,2.501912688276132,447.48926162719727,479.874849319458,450.4626989364624,452.63636112213135,453.66185903549194,462.57938861846924,2.2176427724231442,2.219939636215522,0.011958332448285971,2.083876663713811,2.234690495954512,2.219939636215522,2.225732334514105,2.227855728586471,2.2326754203415073,3161.33203125,3161.33203125,3161.33203125,3161.33203125,936.56640625,936.56640625,,,6056.10546875,4098.8984375,4097.8984375,,TFLite
levit_128s.tflite,0.741,0.923,1000,31.525489807128906,22.093632459640503,22.039175033569336,0.39744547510782385,21.907567977905273,32.61828422546387,22.039175033569336,22.179150581359863,22.290921211242676,23.044981956481934,45.27292342022299,45.37374917513171,0.6201954783244992,30.657651797004625,45.64632646620306,45.37374917513171,45.49235341330615,45.51308650549069,45.5630468554109,1720.56640625,1720.56640625,1720.56640625,1720.56640625,969.55859375,969.55859375,,,6056.10546875,2690.125,2690.125,,TFLite
mnasnet1_0.tflite,0.729,0.906,1000,16.679828643798828,22.977186679840088,22.926807403564453,0.5163293033307991,22.770166397094727,34.58738327026367,22.926807403564453,23.027920722961426,23.141944408416748,23.57489585876465,43.536713405631545,43.61706287306836,0.6849937535281333,28.91227683187427,43.9171142872101,43.61706287306836,43.71029076638571,43.72949937878617,43.77594768493886,1722.6640625,1722.6640625,1722.6640625,1722.6640625,951.3828125,951.3828125,,,6056.10546875,2674.046875,2674.046875,,TFLite
mobilenet_v2.tflite,0.713,0.906,1000,13.34295654296875,73.02201628684998,72.7759599685669,1.382021678119097,71.58684730529785,98.6943244934082,72.7759599685669,73.42922687530518,73.89111518859863,79.88057613372803,13.698666709652372,13.740801226594595,0.22152685844457867,10.132294892669234,13.96904651681726,13.740801226594595,13.796603334312746,13.811839023635658,13.834646463089284,1734.73046875,1734.73046875,1734.73046875,1734.73046875,936.3515625,936.3515625,,,6056.10546875,2671.08203125,2671.08203125,,TFLite
mobilenet_v3_small.tflite,0.674,0.868,1000,11.987106323242188,26.020440101623535,25.822877883911133,1.0994266337239573,25.66981315612793,47.406911849975586,25.822877883911133,26.03170871734619,26.645267009735104,29.588682651519775,38.48003474089959,38.72535062051672,1.1767213512021644,21.093970498745215,38.9562632933025,38.72535062051672,38.83301993534994,38.85813177703684,38.90172998289839,1733.703125,1733.703125,1733.703125,1733.703125,936.79296875,936.79296875,,,6056.10546875,2670.49609375,2670.49609375,,TFLite
mobilevit_xxs.tflite,0.663,0.875,1000,5.279247283935547,29.472461223602295,29.358386993408203,0.5126317531258178,29.168128967285156,39.789676666259766,29.358386993408203,29.67383861541748,30.16071319580078,31.248939037322998,33.93874819404546,34.06181683238692,0.5081258663480361,25.132146923123017,34.283995422592774,34.06181683238692,34.18761396084668,34.207173283241225,34.23335054673298,1149.671875,1149.671875,1149.671875,1149.671875,941.1015625,941.1015625,,,6056.10546875,2090.7734375,2090.7734375,,TFLite
resnet18.tflite,0.695,0.879,1000,44.593624114990234,145.09046983718872,144.81806755065918,1.2477992590835045,143.11575889587402,166.7182445526123,144.81806755065918,145.77524662017822,146.36353254318237,148.80595684051514,6.892726864028257,6.9052157436158925,0.05540873629132708,5.998143770548303,6.987350713261177,6.9052157436158925,6.925169996149853,6.928457709040874,6.937597312046851,1782.60546875,1782.60546875,1782.60546875,1782.60546875,938.32421875,938.32421875,,,6056.10546875,2721.9296875,2720.9296875,,TFLite
resnet50_v1_mlperf.tflite,0.756,0.921,1000,97.43214416503906,228.63569450378418,228.21664810180664,1.9732884890014069,227.27346420288086,255.3269863128662,228.21664810180664,229.52592372894287,230.21032810211182,233.58166933059687,4.374073017928845,4.381801276631646,0.03513916578388303,3.9165464428215393,4.399985733078487,4.381801276631646,4.39220075406194,4.393673756942021,4.395999859022653,1241.72265625,1241.72265625,1241.72265625,1241.72265625,1051.4140625,1051.4140625,,,6056.10546875,2294.13671875,2293.13671875,,TFLite
