model_name,top1_acc,top5_acc,samples,model_file_mb,param_bytes_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,host_steady_mean_delta_median_mib,dev_peak_delta_mean_mib,dev_peak_delta_median_mib,dev_peak_delta_p95_mib,dev_peak_delta_max_mib,dev_steady_mean_delta_median_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,dev_global_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p90_j_per_sample,energy_p95_j_per_sample,energy_p99_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median
convnext_tiny.onnx,0.822,0.966,1000,109.18,109.06,2.40394119,2.3766325000000004,0.08584448128535142,2.316913,2.823912,2.3766325000000004,2.5847890000000002,2.5940404999999997,2.62458429,416.48910580859626,420.76344265665716,14.182135268721638,354.1186835850409,431.60878289344487,420.76344265665716,429.04515619605183,429.7320335002379,430.64259614484985,1699.3248984375,1699.37890625,1699.37890625,1699.37890625,1699.37890625,,,,,,962.234375,962.234375,,,2661.61328125,962.234375,,1699.37890625,,NVIDIA+NVML,0.8701558557104617,0.906300662481226,0.9157637194829994,0.91861596370209,0.9245000418219345,0,0.906300662481226,,133.171,133.171,133.209
deit_tiny_distilled_patch16_224.onnx,0.741,0.916,1000,22.67,22.55,1.6749448350000002,1.6537250000000001,0.08375040779897294,1.568256,2.464022,1.6537250000000001,1.754747,1.783793,2.0299837,598.2971354329358,604.6954603372766,25.569987251473925,405.84053226797494,637.650995755795,604.6954603372766,621.9837675456008,625.5221350658428,631.6512084622871,1718.03125,1718.03125,1718.03125,1718.03125,1718.03125,,,,,,1507.0390625,1507.0390625,,,3225.0703125,3171.1953125,,1718.03125,,NVIDIA+NVML,0.314236227872669,0.3422666666666667,0.34400000000000003,0.34408333333333335,0.34408333333333335,0,0.3422666666666667,,102.68,102.68,102.68
densenet121.onnx,0.733,0.908,1000,30.81,30.67,4.207014945,4.136827,0.3385807755355407,3.969717,9.942219,4.136827,4.377994000000001,4.5467755,5.8768628099999995,238.7425299550114,241.73116256797556,13.449509428678963,100.5811680470929,251.90712587320456,241.73116256797556,247.93409026413718,248.88765883106353,249.86628476723308,1149.44921875,1149.44921875,1149.44921875,1149.44921875,1149.44921875,,,,,,2077.19140625,2077.19140625,,,3226.640625,3795.29296875,,1149.44921875,,NVIDIA+NVML,0.7040365338670697,0.7263554810951464,0.7312804946938529,0.7322835620872676,0.7354017001743055,0,0.7263554810951464,,106.13650000000001,106.13650000000001,106.194
efficientnet_b0.onnx,0.771,0.929,1000,20.16,20.09,1.372357391,1.3447365,0.059936884666936904,1.324246,1.699934,1.3447365,1.486028,1.499182,1.6141111,729.9424236313363,743.6401109436,29.14070127141558,588.258132374551,755.1467023498654,743.6401109436,749.8927653497383,751.1311095616211,753.6504946255188,1179.88671875,1179.88671875,1179.88671875,1179.88671875,1179.88671875,,,,,,2078.3203125,2078.3203125,,,3258.20703125,3799.86328125,,1179.88671875,,NVIDIA+NVML,0.30962304168905785,0.33003333333333335,0.3326466666666667,0.3333066666666667,0.3333066666666667,0,0.33003333333333335,,99.01,99.01,99.01
inception_v3.onnx,0.769,0.931,1000,90.9,90.86,3.323162524,2.9134455,1.1445770627821232,2.150753,10.000709,2.9134455,4.801545,5.1901865,6.47343068,333.721469264118,343.2363956152261,99.36875501760942,99.99291050264536,464.9534372380278,343.2363956152261,456.93877634340345,459.3917240162975,461.39117859084604,2469.87890625,2469.87890625,2469.87890625,2469.87890625,2469.87890625,,,,,,2109.875,2109.875,,,4579.75390625,3799.9921875,,2469.87890625,,NVIDIA+NVML,0.7745224071174305,0.8061856778850778,0.8962405416416004,0.908672297111107,1.2497749662428441,0,0.8061856778850778,,118.597,118.597,118.597
levit_128s.onnx,0.741,0.924,1000,31.64,31.5,1.737141861,1.62891,0.47568144652098004,1.520735,8.624384,1.62891,1.8892839000000003,2.3977204999999997,3.1873265899999965,592.0651275510243,613.9074811128199,69.63741346831692,115.95031019026983,657.576763867472,613.9074811128199,632.9502507523707,635.4748109710594,652.9023108780516,1350.3203125,1350.3203125,1350.3203125,1350.3203125,1350.3203125,,,,,,2091.71875,2091.71875,,,3442.0390625,5599.98046875,,1350.3203125,,NVIDIA+NVML,0.3411780854149164,0.34169333333333335,0.3464166666666667,0.6833046084292232,0.7042997170220688,0,0.34169333333333335,,102.011,102.011,102.011
mnasnet1_0.onnx,0.728,0.907,1000,16.67,16.65,1.1889850649999998,1.168011,0.35658636594400794,0.774348,3.27201,1.168011,1.6899471000000001,1.71603995,1.9866949,913.8473537671996,856.1568119710425,252.06578564361087,305.62253782842964,1291.4090305650689,856.1568119710425,1263.8503787872514,1271.0581769399464,1285.4035488906866,1149.41796875,1149.41796875,1149.41796875,1149.41796875,1149.41796875,,,,,,2294.03515625,2294.03515625,,,3443.453125,5599.98046875,,1149.41796875,,NVIDIA+NVML,0.2810491753551322,0.29420666666666667,0.29742,0.29750000000000004,0.29750000000000004,0,0.29420666666666667,,88.262,88.262,88.262
mobilenet_v2.onnx,0.713,0.906,1000,13.34,13.3,1.294183022,1.3200759999999998,0.3405881121061767,0.772258,1.836424,1.3200759999999998,1.687769,1.71633895,1.7408153,835.9525802560381,757.5322082087282,245.71640939076505,544.5365558280658,1294.9040346619913,757.5322082087282,1259.5538742445387,1270.4017799437927,1284.877007826053,1149.04296875,1149.04296875,1149.04296875,1149.04296875,1149.04296875,,,,,,2295.10546875,2295.10546875,,,3444.1484375,5599.98046875,,1149.04296875,,NVIDIA+NVML,0.28085951135140036,0.2923833333333334,0.2954833333333333,0.29584333333333335,0.29584333333333335,0,0.2923833333333334,,87.715,87.715,87.715
mobilenet_v3_small.onnx,0.673,0.868,1000,9.71,9.68,1.470851485,1.5823455000000002,0.4902038853080204,0.899057,3.599229,1.5823455000000002,1.993437,2.0073554999999996,2.2270587999999987,765.0882306932241,631.9732346406411,261.39908789838785,277.8372812621814,1112.2765297417184,631.9732346406411,1095.0802316433756,1098.0847151545074,1107.4774797689317,1148.42578125,1148.42578125,1148.42578125,1148.42578125,1148.42578125,,,,,,2296.80859375,2296.80859375,,,3445.234375,5599.98046875,,1148.42578125,,NVIDIA+NVML,0.25621903841260135,0.27420000000000005,0.27595333333333333,0.2766466666666667,0.5649703896135837,0,0.27420000000000005,,82.26,82.26,82.26
mobilevit_xxs.onnx,0.663,0.874,1000,5.04,4.85,1.8073766649999998,1.7304195,0.1738048764785053,1.694995,2.912681,1.7304195,1.941973,2.07505255,2.73609999,557.2472764472622,577.8945512330961,41.82390602831981,343.3263031550657,589.972241806023,577.8945512330961,584.9995925557298,586.244305011593,587.9786207694195,1844.1171875,1844.1171875,1844.1171875,1844.1171875,1844.1171875,,,,,,1616.5546875,1616.5546875,,,3460.671875,5599.98046875,,1844.1171875,,NVIDIA+NVML,0.2981055087120653,0.29735333333333336,0.3103633333333333,0.3103633333333333,0.6062778881314678,0,0.29735333333333336,,89.206,89.206,89.206
