device,framework,accelerator,tier,model_id,acc_top1,acc_top5,s_latency_ms,s_energy_j,memory_mib,ratio_mem,ratio_lat,ratio_flops,ratio_energy,ratio_acc,weights,frm,frm_e,frm_q,frm_eq
a100_sxm,onnx,,gpu,CN,0.822,0.966,2.411537,0.8636134796943515,1769.66015625,0.7021176682092499,0.741583661977115,0.7810858143607706,0.997037540595007,0.9355231143552312,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.7408943254249711,0.7979856453261494,0.6931237667296871,0.7465340161262881
a100_sxm,onnx,,gpu,DE,0.741,0.916,2.0777780000000003,0.3611633333333334,1561.80078125,0.6196488737489112,0.6389477822714255,0.45534150612959723,0.4169613028124631,1.03778677462888,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.5649145455055972,0.5236137055118701,0.5862608441211934,0.5433993785946399
a100_sxm,onnx,,gpu,DN,0.733,0.908,5.16707,0.7300801504943519,1196.79296875,0.47483099259498046,1.5889512341266552,0.4956217162872154,0.8428739648016429,1.049113233287858,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.7204435949142994,0.749273975095273,0.7558269092620685,0.7860732426306479
a100_sxm,onnx,,gpu,EN,0.771,0.929,1.911676,0.3599433333333334,1153.109375,0.45749940332094513,0.5878689352864017,0.06830122591943959,0.415552818776345,0.9974059662775616,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.26385572035455407,0.29558435510091347,0.26317126971809607,0.29481759931595647
a100_sxm,onnx,,gpu,IN,0.769,0.931,3.2518745,0.8661795013044029,2520.4609375,1.0,1.0,1.0,1.0,1.0,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.0,1.0,1.0,1.0
a100_sxm,onnx,,gpu,LE,0.741,0.923,2.1691565,0.7000485506206751,1296.25,0.5142908508178378,0.6670480364479011,0.053415061295971976,0.8082026295547899,1.03778677462888,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.2636391360892737,0.34884899380092693,0.27360120870803173,0.3620308721091941
a100_sxm,onnx,,gpu,MN,0.728,0.906,0.8953960000000001,0.35323,1148.671875,0.4557388126551753,0.2753476494864731,0.0542907180385289,0.40780230826065667,1.0563186813186813,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.1895720581609273,0.22958481704218592,0.20024850649141906,0.24251473118879255
a100_sxm,onnx,,gpu,MV2,0.713,0.906,0.897556,0.35812,1179.7734375,0.4680784454728333,0.2760118817623497,0.0542907180385289,0.4134477893562449,1.0785413744740533,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.1914214795907579,0.23205886839245973,0.20645598570167295,0.250285090874897
a100_sxm,onnx,,gpu,MV3,0.677,0.868,0.955765,0.3209733333333333,1148.80859375,0.45579305620561716,0.2939120190523958,0.010507880910683012,0.37056214427837525,1.1358936484490398,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.11207275921178969,0.1511263908987431,0.12730273535283054,0.17166350753490908
a100_sxm,onnx,,gpu,MX,0.663,0.874,1.6530345,0.34514,1782.609375,0.7072553073439568,0.5083328092766187,0.12259194395796846,0.3984624428080374,1.1598793363499245,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.3532336720407537,0.364035234357778,0.40970843710307625,0.42223694603488876
a100_sxm,onnx,,gpu,R18,0.695,0.879,0.856217,0.4038666666666667,1150.03515625,0.4562796983438669,0.26329952155287667,0.3169877408056042,0.4662620923936356,1.106474820143885,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.33644020901126764,0.36503831211254756,0.3722626197549134,0.4039057007403584
a100_sxm,onnx,,gpu,R50,0.756,0.921,1.708434,0.47679,1149.4609375,0.45605187543201114,0.5253689833356116,0.7162872154115586,0.5504517242465207,1.0171957671957672,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.5557190590945782,0.554397518773302,0.5652750746610193,0.5639308094400387
a100_sxm,onnx,,gpu,SN,0.595,0.804,0.7267684999999999,0.2891966666666667,1232.6015625,0.4890381533635651,0.22349217351407624,0.06129597197898423,0.33387613794964865,1.292436974789916,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.18851489305765565,0.21747312484358933,0.24364361808628102,0.2810703075709583
a100_sxm,torch,,gpu,CN,0.822,0.966,4.502685740590096,0.9048871272755786,2664.17578125,0.5965791750238141,0.47506530189802215,0.7810858143607706,0.7322337623234234,0.9367396593673967,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.6049322205843246,0.6345158501329069,0.566664002250523,0.5943761613167133
a100_sxm,torch,,gpu,DE,0.741,0.916,4.330428782850504,0.5982484395653009,2816.3515625,0.6306553432239972,0.4568909703218927,0.45534150612959723,0.48410204157275993,1.039136302294197,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.5081367803292466,0.5020184773641148,0.528023374971012,0.5216656242515093
a100_sxm,torch,,gpu,DN,0.733,0.908,12.666421476751566,1.4198281576676526,2945.546875,0.6595855787927746,1.3363973613739186,0.4956217162872154,1.1489235313490112,1.0504774897680764,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.758785511034665,0.8417091594958679,0.7970870989040819,0.8841965249820167
a100_sxm,torch,,gpu,EN,0.771,0.929,6.686707958579063,0.8353428572807461,3017.76171875,0.6757563856186797,0.7054951462435306,0.06830122591943959,0.6759586082943574,0.9987029831387808,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.3193284128408915,0.385175094328852,0.3189142385051705,0.3846755157369858
a100_sxm,torch,,gpu,IN,0.77,0.931,9.478035382926464,1.2357899537496269,4465.75390625,1.0,1.0,1.0,1.0,1.0,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.0,1.0,1.0,1.0
a100_sxm,torch,,gpu,LE,0.741,0.924,7.932648994028568,0.8281442815179472,3117.84765625,0.6981682649118771,0.8369507681220812,0.053415061295971976,0.6701335279552941,1.039136302294197,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.3148530580863823,0.3802955763207527,0.32717524254590336,0.3951789389567876
a100_sxm,torch,,gpu,MN,0.729,0.907,4.286609124392271,0.5555429523997009,3215.21484375,0.7199713444241025,0.4522676853595714,0.0542907180385289,0.4495448038836014,1.056241426611797,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.26050263373965793,0.29857423923665316,0.27515367349730674,0.3153664804008545
a100_sxm,torch,,gpu,MV2,0.713,0.905,4.482550546526909,0.5542235092353076,3132.06640625,0.7013522177893745,0.4729408960217307,0.0542907180385289,0.44847711178884875,1.0799438990182328,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.26211359279587354,0.2997797053507152,0.28306797538965306,0.32374526384298835
a100_sxm,torch,,gpu,MV3,0.673,0.868,4.38033789396286,0.5362579612135887,3114.94921875,0.6975192283637719,0.462156735757023,0.010507880910683012,0.4339394082193967,1.1441307578008915,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.15018280257689387,0.19580439083583281,0.17182876372096326,0.22402582606774332
a100_sxm,torch,,gpu,MX,0.663,0.875,6.989738438278437,0.8258203199626879,2543.6640625,0.5695934249623655,0.7374670125065799,0.12259194395796846,0.6682529805789313,1.1613876319758671,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.3720401687125552,0.43070270626946305,0.43208285054097656,0.5002127961198891
a100_sxm,torch,,gpu,R18,0.695,0.879,2.356584183871746,0.598853896137327,3131.76953125,0.7012857396523718,0.24863635644543466,0.3169877408056042,0.4845919764279422,1.1079136690647482,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.38092022816163057,0.40454755582042007,0.42202672760353316,0.4482037668801776
a100_sxm,torch,,gpu,R50,0.8,0.961,5.2375951781868935,0.6389238038398326,3141.09375,0.7033736779816537,0.5526034633318407,0.7162872154115586,0.5170165058400205,0.9625,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.6529736227207286,0.6159533627806149,0.6284871118687012,0.5928551116763419
a100_sxm,torch,,gpu,SN,0.595,0.804,2.0998981781303883,0.549157184837386,3262.86328125,0.7306410854130347,0.22155416109894474,0.06129597197898423,0.4443774471309921,1.2941176470588236,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.21488460991786615,0.25768668980412834,0.2780859657760621,0.33347689268769554
asus_zenfone_max_pro_m1,tflite,cpu,edge,DN,0.733,0.909,434.4904174804688,0.0,73.05078125,0.4645518680445151,0.8190578964106242,0.4956217162872154,,1.049113233287858,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.573455487895185,,0.6016197410523837,
asus_zenfone_max_pro_m1,tflite,cpu,edge,EN,0.771,0.929,196.96534729003903,0.0,46.0,0.29252782193958665,0.37129938089927916,0.06830122591943959,,0.9974059662775616,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.19503234105586445,,0.19452642058619943,
asus_zenfone_max_pro_m1,tflite,cpu,edge,IN,0.769,0.931,530.475830078125,0.0,157.25,1.0,1.0,1.0,,1.0,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.0,,1.0,
asus_zenfone_max_pro_m1,tflite,cpu,edge,LE,0.741,0.923,52.27730178833008,0.0,80.00390625,0.5087688791732909,0.09854794285468392,0.053415061295971976,,1.03778677462888,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.13887069555837805,,0.1441181712339983,
asus_zenfone_max_pro_m1,tflite,cpu,edge,MN,0.729,0.906,41.40077972412109,0.0,51.62109375,0.32827404610492844,0.07804461085064678,0.0542907180385289,,1.0548696844993142,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.11162676813026577,,0.11775169367925155,
asus_zenfone_max_pro_m1,tflite,cpu,edge,MV2,0.713,0.906,107.8396224975586,0.0,34.4296875,0.2189487281399046,0.20328847495592153,0.0542907180385289,,1.0785413744740533,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.1341920919930477,,0.1447317233417303,
asus_zenfone_max_pro_m1,tflite,cpu,edge,MV3,0.674,0.868,45.66461944580078,0.0,26.328125,0.16742845786963434,0.08608237521222332,0.010507880910683012,,1.1409495548961424,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.053303151490822,,0.060816206968015006,
asus_zenfone_max_pro_m1,tflite,cpu,edge,MX,0.663,0.875,72.0033187866211,0.0,44.2578125,0.2814487281399046,0.13573345797115188,0.12259194395796846,,1.1598793363499245,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.1673077447842406,,0.19405679598654751,
asus_zenfone_max_pro_m1,tflite,cpu,edge,R18,0.695,0.879,199.7709197998047,0.0,74.95703125,0.4766742845786963,0.3765881657047103,0.3169877408056042,,1.106474820143885,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.38463041138380344,,0.42558386525776243,
asus_zenfone_max_pro_m1,tflite,cpu,edge,R50,0.756,0.921,300.1376647949219,0.0,232.8828125,1.4809717806041336,0.5657895191015953,0.7162872154115586,,1.0171957671957672,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.8435217664818058,,0.8580267704027892,
asus_zenfone_max_pro_m1,tflite,cpu,edge,SN,0.595,0.804,66.80261993408203,0.0,22.49609375,0.1430594197138315,0.12592962043952838,0.06129597197898423,,1.292436974789916,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.1033614904652332,,0.13358821204666274,
cpu_gp_v3,tflite,,cpu,DN,0.733,0.909,273.24116230010986,0.0,2646.09765625,0.6457206533074308,0.6065788864321714,0.4956217162872154,,1.049113233287858,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.5790207107235068,,0.6074582899677718,
cpu_gp_v3,tflite,,cpu,EN,0.771,0.929,124.59981441497804,0.0,2674.5859375,0.6526725779791852,0.27660406668333887,0.06830122591943959,,0.9974059662775616,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.23102597332615374,,0.23042668416058654,
cpu_gp_v3,tflite,,cpu,IN,0.769,0.931,450.4626989364624,0.0,4097.8984375,1.0,1.0,1.0,,1.0,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.0,,1.0,
cpu_gp_v3,tflite,,cpu,LE,0.741,0.923,22.039175033569336,0.0,2690.125,0.6564645368910512,0.04892563820623459,0.053415061295971976,,1.03778677462888,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.11971185674718679,,0.1242353816984975,
cpu_gp_v3,tflite,,cpu,MN,0.729,0.906,22.926807403564453,0.0,2674.046875,0.6525410318932532,0.050896128486763496,0.0542907180385289,,1.0548696844993142,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.12171367801002571,,0.12839206912168694,
cpu_gp_v3,tflite,,cpu,MV2,0.713,0.906,72.7759599685669,0.0,2671.08203125,0.6518175284206272,0.16155823809693934,0.0542907180385289,,1.0785413744740533,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.17881073005247639,,0.1928547705615068,
cpu_gp_v3,tflite,,cpu,MV3,0.674,0.868,25.822877883911133,0.0,2670.49609375,0.6516745435446142,0.05732523013532235,0.010507880910683012,,1.1409495548961424,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.07322014228477046,,0.08354048874924107,
cpu_gp_v3,tflite,,cpu,MX,0.663,0.875,29.358386993408203,0.0,2090.7734375,0.5102062604498113,0.06517384694165142,0.12259194395796846,,1.1598793363499245,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.15974490808985062,,0.18528481798053562,
cpu_gp_v3,tflite,,cpu,R18,0.695,0.879,144.81806755065918,0.0,2720.9296875,0.6639817284393106,0.32148736819402157,0.3169877408056042,,1.106474820143885,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.4074936412730978,,0.45088145343742764,
cpu_gp_v3,tflite,,cpu,R50,0.756,0.921,228.21664810180664,0.0,2293.13671875,0.5595884704621843,0.5066271827625766,0.7162872154115586,,1.0171957671957672,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.5877800143940773,,0.5978873426839226,
cpu_gp_v3,tflite,,cpu,SN,0.595,0.804,35.03572940826416,0.0,2774.8828125,0.677147775822592,0.07777720439668621,0.06129597197898423,,1.292436974789916,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.14779369500575404,,0.19101403606626027,
cpu_gp_v3,torch,,cpu,CN,0.822,0.966,90.0717070326209,0.0,2112.875,0.7067477993182035,0.7656416605543456,0.7810858143607706,,0.9355231143552312,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.7504635278645275,,0.7020759767978366,
cpu_gp_v3,torch,,cpu,DE,0.741,0.916,27.01240498572588,0.0,2053.63671875,0.6869328434363694,0.22961508436103464,0.45534150612959723,,1.03778677462888,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.41567187972829944,,0.43137877936715563,
cpu_gp_v3,torch,,cpu,DN,0.733,0.909,65.6684460118413,0.0,2058.1484375,0.6884419943789027,0.5582052312200589,0.4956217162872154,,1.049113233287858,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.5753567261029093,,0.6036143552157398,
