device,framework,accelerator,tier,model_id,acc_top1,acc_top5,s_latency_ms,s_energy_j,memory_mib,ratio_mem,ratio_lat,ratio_flops,ratio_energy,ratio_acc,weights,frm,frm_e,frm_q,frm_eq
a100_sxm,onnx,,gpu,CN,0.822,0.966,2.411537,0.8636134796943515,1769.66015625,1.5404308131726143,2.5231484726894164,74.33333333333333,2.690608190797839,0.8236009732360098,"(1.0, 1.0, 1.0, 1.0, 1.0)",6.610833271489861,5.280253439393067,5.444688716300044,4.348821871616918
a100_sxm,onnx,,gpu,DE,0.741,0.916,2.0777780000000003,0.3611633333333334,1561.80078125,1.3594960811982522,2.1739423393825894,43.333333333333336,1.1252128941137378,0.9136302294197032,"(1.0, 1.0, 1.0, 1.0, 1.0)",5.040605312822261,3.464740356717041,4.605249388367977,3.1654915269870947
a100_sxm,onnx,,gpu,DN,0.733,0.908,5.16707,0.7300801504943519,1196.79296875,1.0417688161988472,5.406213870564417,47.16666666666667,2.2745819501963362,0.9236016371077763,"(1.0, 1.0, 1.0, 1.0, 1.0)",6.428356007126049,4.95792939035577,5.937240132093227,4.579151701597349
a100_sxm,onnx,,gpu,EN,0.771,0.929,1.911676,0.3599433333333334,1153.109375,1.0037436882639963,2.000152757215424,6.500000000000001,1.1214119553026216,0.8780804150453956,"(1.0, 1.0, 1.0, 1.0, 1.0)",2.3543251920471793,1.9558751674216803,2.0672868417846177,1.7174156787866117
a100_sxm,onnx,,gpu,IN,0.769,0.931,3.2518745,0.8661795013044029,2520.4609375,2.1939781363164963,3.4023787228031996,95.16666666666667,2.698602691722271,0.8803641092327699,"(1.0, 1.0, 1.0, 1.0, 1.0)",8.922774874403228,6.616977974879416,7.8552907541885375,5.825349920667574
a100_sxm,onnx,,gpu,LE,0.741,0.923,2.1691565,0.7000485506206751,1296.25,1.128342882401945,2.269550046297992,5.083333333333333,2.1810177915735736,0.9136302294197032,"(1.0, 1.0, 1.0, 1.0, 1.0)",2.352392659406745,2.308326108539579,2.14921704509901,2.1089565121205065
a100_sxm,onnx,,gpu,MN,0.728,0.906,0.8953960000000001,0.35323,1148.671875,0.9998809908362944,0.9368369839866495,5.166666666666667,1.1004964067627634,0.9299450549450551,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.6915087974472294,1.5191576777348645,1.5730102415821077,1.4127331700913508
a100_sxm,onnx,,gpu,MV2,0.713,0.906,0.897556,0.35812,1179.7734375,1.0269538754484095,0.9390969537490911,5.166666666666667,1.115731317243385,0.9495091164095373,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.7080107685135049,1.5355284210283469,1.6217717956292328,1.4579982342723576
a100_sxm,onnx,,gpu,MV3,0.677,0.868,0.955765,0.3209733333333333,1148.80859375,1.0,1.0,1.0,1.0,1.0,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.0,1.0,1.0,1.0
a100_sxm,onnx,,gpu,MX,0.663,0.874,1.6530345,0.34514,1782.609375,1.5517026811064452,1.7295407343855447,11.666666666666666,1.0752918207120012,1.0211161387631975,"(1.0, 1.0, 1.0, 1.0, 1.0)",3.151824533678427,2.4088131278254834,3.2183788978888312,2.4596779600872583
