device,framework,accelerator,tier,model_id,acc_top1,acc_top5,s_latency_ms,s_energy_j,memory_mib,ratio_mem,ratio_lat,ratio_flops,ratio_energy,ratio_acc,weights,frm,frm_e,frm_q,frm_eq
a100_sxm,onnx,,gpu,CN,0.822,0.966,2.411537,0.8636134796943515,1769.66015625,1.1330895575770157,1.160632656616828,1.7153846153846153,2.391199216497664,0.9014598540145986,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.3115157528150962,1.523996864341167,1.182278799070543,1.3738219908476945
a100_sxm,onnx,,gpu,DE,0.741,0.916,2.0777780000000003,0.3611633333333334,1561.80078125,1.0,1.0,1.0,1.0,1.0,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.0,1.0,1.0,1.0
a100_sxm,onnx,,gpu,DN,0.733,0.908,5.16707,0.7300801504943519,1196.79296875,0.7662904149606949,2.486824867719265,1.0884615384615384,2.0214680813695147,1.0109140518417463,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.2753142942522468,1.4309670797535823,1.289233140574236,1.4465847286458453
a100_sxm,onnx,,gpu,EN,0.771,0.929,1.911676,0.3599433333333334,1153.109375,0.7383203983782742,0.9200578695125271,0.15,0.9966220269684076,0.961089494163424,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.4670719181401212,0.5645084381661829,0.44889791354322933,0.5425431292881213
a100_sxm,onnx,,gpu,IN,0.769,0.931,3.2518745,0.8661795013044029,2520.4609375,1.6138171831894772,1.5650731213825535,2.196153846153846,2.398304095019989,0.9635890767230169,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.7701792385342148,1.909804860860981,1.705725378093437,1.8402671025981623
a100_sxm,onnx,,gpu,LE,0.741,0.923,2.1691565,0.7000485506206751,1296.25,0.8299714122069626,1.04397895251562,0.11730769230769231,1.9383156760671763,1.0,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.4666885251703288,0.6662335040674726,0.4666885251703288,0.6662335040674726
a100_sxm,onnx,,gpu,MN,0.728,0.906,0.8953960000000001,0.35323,1148.671875,0.735479126909292,0.4309392052471438,0.11923076923076922,0.9780339458601369,1.0178571428571428,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.3355765215626742,0.43846219956704574,0.3415689594477219,0.44629188170217154
a100_sxm,onnx,,gpu,MV2,0.713,0.906,0.897556,0.35812,1179.7734375,0.7553930383846772,0.43197877732847295,0.11923076923076922,0.991573526290044,1.0392706872370268,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.33885032898106054,0.4431871548618183,0.3521572142706394,0.46059141900786454
a100_sxm,onnx,,gpu,MV3,0.677,0.868,0.955765,0.3209733333333333,1148.80859375,0.7355666660830722,0.4599938010701816,0.023076923076923075,0.8887207080822155,1.0945347119645494,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.1983888715619543,0.2886219159427963,0.21714350639203564,0.3159067056331049
a100_sxm,onnx,,gpu,MX,0.663,0.874,1.6530345,0.34514,1782.609375,1.1413807678936323,0.79557801651572,0.2692307692307692,0.9556341082981844,1.1176470588235294,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.6252869125977459,0.6952362601011509,0.698850078785716,0.7770287612895216
