device,framework,accelerator,tier,model_id,acc_top1,acc_top5,s_latency_ms,s_energy_j,memory_mib,ratio_mem,ratio_lat,ratio_flops,ratio_energy,ratio_acc,weights,frm,frm_e,frm_q,frm_eq
a100_sxm,onnx,,gpu,CN,0.822,0.966,2.411537,0.8636134796943515,1769.66015625,1.4357114335152403,3.3181638995085785,12.742857142857144,2.9862497713010225,0.7238442822384429,"(1.0, 1.0, 1.0, 1.0, 1.0)",3.9301633595515186,3.6693529184356706,2.8448262760743965,2.6560401295246034
a100_sxm,onnx,,gpu,DE,0.741,0.916,2.0777780000000003,0.3611633333333334,1561.80078125,1.2670767495072033,2.858926879742312,7.42857142857143,1.2488502633732523,0.8029689608636977,"(1.0, 1.0, 1.0, 1.0, 1.0)",2.9966573799175795,2.4077168426602724,2.40622286241695,1.9333218912049421
a100_sxm,onnx,,gpu,DN,0.733,0.908,5.16707,0.7300801504943519,1196.79296875,0.9709487681669233,7.109650459534226,8.085714285714287,2.5245109458189416,0.8117326057298772,"(1.0, 1.0, 1.0, 1.0, 1.0)",3.821679991585376,3.445363539215086,3.102182257835332,2.7967139233737734
a100_sxm,onnx,,gpu,EN,0.771,0.929,1.911676,0.3599433333333334,1153.109375,0.9355086104720073,2.6303781740678085,1.1142857142857143,1.2446316808630804,0.7717250324254215,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.3996545104468539,1.3591764743965635,1.0801484224589857,1.048910508775558
a100_sxm,onnx,,gpu,IN,0.769,0.931,3.2518745,0.8661795013044029,2520.4609375,2.044830230774594,4.4744296154827845,16.314285714285717,2.9951227007148633,0.7737321196358907,"(1.0, 1.0, 1.0, 1.0, 1.0)",5.304620678930437,4.598269329689443,4.104355401773224,3.557828675117319
a100_sxm,onnx,,gpu,LE,0.741,0.923,2.1691565,0.7000485506206751,1296.25,1.0516374791631014,2.9846594892321288,0.8714285714285714,2.420666042556997,0.8029689608636977,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.3985056130745168,1.604101628887825,1.1229565988924932,1.2880438180678218
a100_sxm,onnx,,gpu,MN,0.728,0.906,0.8953960000000001,0.35323,1148.671875,0.9319085014546216,1.2320236774158486,0.8857142857142858,1.2214179508754133,0.8173076923076923,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.0056078598678584,1.0556928227674458,0.8218910393150766,0.8628258647618547
a100_sxm,onnx,,gpu,MV2,0.713,0.906,0.897556,0.35812,1179.7734375,0.9571409556768269,1.2349957379825902,0.8857142857142858,1.238326859461266,0.8345021037868162,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.015418339028595,1.0670691772114864,0.8473687401430771,0.8904714732690524
a100_sxm,onnx,,gpu,MV3,0.677,0.868,0.955765,0.3209733333333333,1148.80859375,0.9320194203063895,1.3150886423943802,0.17142857142857143,1.109879090353738,0.8788774002954208,"(1.0, 1.0, 1.0, 1.0, 1.0)",0.5945034760596511,0.6949198481763481,0.5224956695058972,0.6107493495789174
a100_sxm,onnx,,gpu,MX,0.663,0.874,1.6530345,0.34514,1782.609375,1.4462170333326996,2.274499376348865,2.0,1.1934439078366508,0.8974358974358974,"(1.0, 1.0, 1.0, 1.0, 1.0)",1.8737706412019142,1.6739320530736792,1.6815890369760766,1.5022467142968914
